imdb_id,rating
0392728,0
0000003,0
0132134,0
0000014,0
0000131,0
0223341,0
0000012,0
0000091,0
0000041,0
0135696,0
0224240,0
0000211,0
0000230,3
0000246,0
0000313,0
0000306,0
0291476,0
0135453,0
0377995,0
0000300,0
0230746,0
0257654,0
0000272,0
0227438,0
0000304,0
0258104,0
0000359,0
0131934,0
0000417,0
0000413,0
0367177,0
0229024,0
0000439,0
0223755,0
0189498,0
0000455,0
0135180,0
0135631,0
0215664,0
0135179,0
0000499,0
0135690,0
0215575,0
0000574,1
0000567,0
1260944,0
0135122,0
0449172,0
0000554,0
0216016,0
0215817,0
0215737,0
1802750,0
0277596,1
0001009,2
0127948,0
1515725,0
0232821,3
0486978,0
0002101,2
0277865,0
0002281,0
0003512,0
0003424,0
0003973,2
0004972,2
0279914,3
0007507,0
0007361,3
0006864,0
0006745,3
0008652,3
0008489,2
0008443,3
0008519,0
0008499,3
0009682,3
0008844,0
0010281,3
0009652,3
0009968,0
0010879,3
0011870,3
0011588,3
0010323,0
0012532,3
0011979,3
0012349,0
0012364,2
0013496,2
0013428,2
0012543,0
0013086,3
0013140,3
0013367,1
0013442,2
0013257,3
0013427,1
0014341,0
0014611,0
0014469,2
0014624,2
0013626,3
0014429,0
1764657,0
0015498,0
0015175,2
0015116,3
0015163,0
0014945,0
0015881,3
0015400,0
0015324,0
0015174,2
0013845,0
0015864,0
0015863,0
0016220,2
0015648,0
0015624,2
0016332,0
0015841,0
0015361,0
0016039,2
0017449,1
0016895,0
0015532,1
0017410,3
0017925,0
0016884,1
0018199,0
0018051,0
0018183,3
0018033,3
0018192,2
0018037,1
0018528,0
0018455,2
0017136,1
0017825,1
0018578,1
0019130,2
0019421,0
0019571,2
0018806,1
0019258,3
0019412,0
0018742,0
0018684,0
0018937,0
0019254,0
0018839,2
0019237,2
0019304,0
0019290,1
0018773,0
0019760,0
0019702,2
0019777,2
0020286,0
0021015,3
0020572,0
0018737,3
0019729,3
0020530,0
0021040,3
0020629,0
0021577,0
0020640,3
0021156,1
0020641,3
0020697,1
0020670,2
0021165,3
0020668,3
0021148,3
0020642,3
0022000,3
0021746,3
0021079,1
0021814,2
0022183,3
0022599,1
0021815,3
0022100,3
0022251,0
0022286,3
0023395,2
0022054,0
0023196,3
0021985,1
0022458,0
0021739,3
0021730,1
0021749,3
0021735,3
0022397,3
0022074,2
0022395,3
0021884,1
0022158,1
0022208,3
0022940,2
0022694,1
0023590,3
0023027,1
0023582,3
0023213,3
0023694,0
0024188,1
0022913,2
0023634,1
0023042,1
0023458,3
0023935,1
0022718,1
0022614,2
0023649,3
0023238,0
0023427,1
0022958,3
0023293,3
0023158,2
0023285,0
0023385,3
0024069,3
0023969,1
0024432,0
0024034,3
0024625,3
0024481,3
0024727,3
0024216,0
0024473,1
0023940,1
0024679,3
0023753,3
0024264,3
0024008,3
0024028,3
0024184,1
0023932,3
0023876,3
0023775,3
0025452,3
0024991,1
0025316,3
0025822,3
0024844,0
0025465,3
0025424,2
0025301,3
0025617,1
0025746,3
0025755,3
0025423,0
0025586,1
0025091,3
0025004,1
0025543,0
0024961,1
0024831,3
0026599,2
0026942,3
0026768,3
0026778,1
0027125,2
0026071,2
0026663,2
0026752,1
0026667,3
0026138,3
0026939,2
0026029,3
0027752,3
0027652,2
0028505,2
0027977,0
0028333,1
0027407,3
0027996,3
0028174,0
0028212,3
0028000,3
0027562,1
0028216,1
0028092,3
0028355,3
0027438,1
0027698,3
0027545,3
0029207,3
0028010,2
0028096,3
0028356,2
0028021,3
3427056,0
0027387,3
0028203,3
0028231,3
0028683,3
0029565,1
0029608,3
0029217,3
0029322,0
0029604,3
0029811,3
0029087,2
0028772,2
0029442,1
0029162,2
0029146,1
0028597,3
0029377,2
0028739,2
0029583,3
0029682,2
0029453,2
0029546,1
0029192,3
0027552,3
0030044,0
0030287,2
0030473,1
0029942,0
0030127,1
0030341,3
0030241,3
0029929,2
0030396,3
0029947,3
0029971,2
0029843,2
0030149,3
0029870,1
0030755,2
0031971,3
0031981,2
0031680,1
0031385,2
0031725,3
0031742,1
0031210,3
0031060,2
0031225,3
0032138,3
0031252,2
0031066,3
0031885,3
0031455,0
0031235,2
0031709,3
0031022,3
0031397,0
0032143,3
0031514,2
0031505,3
0031322,0
0031507,2
0032145,2
0031516,2
0031593,3
0032155,2
0031679,2
0031381,3
0031387,3
0031826,2
0032484,1
0032904,3
0033045,3
0032273,1
0033021,1
0032599,3
0032943,3
0032983,0
0032194,2
0032701,2
0032349,2
0032551,3
0033028,3
0033152,0
0032406,2
0032811,3
0032910,1
0031359,3
0032455,0
0032215,3
0032211,3
0032376,3
0032946,3
0033105,0
0032553,3
0032339,0
0032690,3
0032676,1
0032976,3
0033928,3
0034241,0
0033467,1
0033729,3
0033727,1
0033870,1
0034240,3
0034091,3
0034398,2
0034248,3
0033787,3
0033836,2
0034175,3
0033802,1
0033459,3
0033804,2
0033723,3
0033902,1
0033717,1
0033436,3
0034328,2
0033533,3
0033627,0
0033891,3
0033563,2
0035415,2
0035019,3
0035140,3
0034591,0
0035360,1
0034492,1
0034521,0
0034613,1
0035446,0
0035317,1
0034583,1
0035567,3
0036326,0
0034587,3
0035015,2
0034882,3
0035279,1
0034746,3
0035093,3
0033874,3
0035753,3
0036230,3
0035735,3
0036969,3
0035881,0
0036506,3
0036342,3
0035957,0
0035160,1
0035942,1
0035636,3
0036112,2
0036363,1
0036367,3
0035017,1
0035770,3
0036323,0
0036172,1
0036027,3
0036418,3
0036341,3
0036515,3
0036400,0
0036244,1
0037415,3
0037017,3
0036947,3
0037469,1
0036723,3
0038166,0
0036613,3
0037094,2
0036914,0
